file,audio_seconds,world_seconds,phase,weapon,ammo,reserve,operation
frame_00225.jpg,10.030531,12.017045,4,1,4,36,2
frame_00226.jpg,10.074260,12.061664,4,1,4,36,3
frame_00227.jpg,10.119213,12.105443,4,1,4,36,3
frame_00228.jpg,10.163805,12.150370,4,1,4,36,3
frame_00229.jpg,10.207942,12.194956,4,1,4,36,3
frame_00230.jpg,10.252956,12.239091,4,1,4,36,3
frame_00231.jpg,10.297589,12.284085,4,1,4,36,3
frame_00232.jpg,10.342271,12.328723,4,1,4,36,3
frame_00233.jpg,10.386870,12.373415,4,1,4,36,3
frame_00234.jpg,10.431562,12.418012,4,1,4,36,3
frame_00235.jpg,10.476555,12.462696,4,1,4,36,3
frame_00236.jpg,10.520873,12.507697,4,1,4,36,3
frame_00237.jpg,10.566325,12.552073,4,1,4,36,3
frame_00238.jpg,10.612328,12.597481,4,1,4,36,0
frame_00239.jpg,10.657576,12.643559,4,1,3,36,2
frame_00240.jpg,10.702829,12.688728,4,1,3,36,2
frame_00241.jpg,10.747444,12.733950,4,1,3,36,2
frame_00242.jpg,10.791689,12.778589,4,1,3,36,2
frame_00243.jpg,10.836690,12.822826,4,1,3,36,2
frame_00244.jpg,10.881445,12.867822,4,1,3,36,3
frame_00245.jpg,10.926139,12.912565,4,1,3,36,3
frame_00246.jpg,10.970371,12.957286,4,1,3,36,3
frame_00247.jpg,11.015211,13.001504,4,1,3,36,3
frame_00248.jpg,11.059767,13.046335,4,1,3,36,3
frame_00249.jpg,11.103985,13.090893,4,1,3,36,3
frame_00250.jpg,11.149183,13.135293,4,1,3,36,3
frame_00251.jpg,11.193853,13.180326,4,1,3,36,3
frame_00252.jpg,11.238683,13.224978,4,1,3,36,3
frame_00253.jpg,11.282635,13.269809,4,1,3,36,3
frame_00254.jpg,11.327581,13.313759,4,1,3,36,3
frame_00255.jpg,11.372050,13.358748,4,1,3,36,3
frame_00256.jpg,11.417312,13.403157,4,1,3,36,0
frame_00257.jpg,11.463256,13.448481,4,1,2,36,2
frame_00258.jpg,11.507977,13.494418,4,1,2,36,2
